sample_id,source_file,group_id,fault_type,fault_size,load,window_start,window_end,split
0,105.mat.txt,105,inner_race,0.007,0,0,1024,train
1,105.mat.txt,105,inner_race,0.007,0,512,1536,train
2,105.mat.txt,105,inner_race,0.007,0,1024,2048,train
3,105.mat.txt,105,inner_race,0.007,0,1536,2560,train
4,105.mat.txt,105,inner_race,0.007,0,2048,3072,train
5,105.mat.txt,105,inner_race,0.007,0,2560,3584,train
6,105.mat.txt,105,inner_race,0.007,0,3072,4096,train
7,105.mat.txt,105,inner_race,0.007,0,3584,4608,train
8,105.mat.txt,105,inner_race,0.007,0,4096,5120,train
9,105.mat.txt,105,inner_race,0.007,0,4608,5632,train
10,105.mat.txt,105,inner_race,0.007,0,5120,6144,train
11,105.mat.txt,105,inner_race,0.007,0,5632,6656,train
12,105.mat.txt,105,inner_race,0.007,0,6144,7168,train
13,105.mat.txt,105,inner_race,0.007,0,6656,7680,train
14,105.mat.txt,105,inner_race,0.007,0,7168,8192,train
15,105.mat.txt,105,inner_race,0.007,0,7680,8704,train
16,105.mat.txt,105,inner_race,0.007,0,8192,9216,train
17,105.mat.txt,105,inner_race,0.007,0,8704,9728,train
18,105.mat.txt,105,inner_race,0.007,0,9216,10240,train
19,105.mat.txt,105,inner_race,0.007,0,9728,10752,train
20,105.mat.txt,105,inner_race,0.007,0,10240,11264,train
21,105.mat.txt,105,inner_race,0.007,0,10752,11776,train
22,105.mat.txt,105,inner_race,0.007,0,11264,12288,train
23,105.mat.txt,105,inner_race,0.007,0,11776,12800,train
24,105.mat.txt,105,inner_race,0.007,0,12288,13312,train
25,105.mat.txt,105,inner_race,0.007,0,12800,13824,train
26,105.mat.txt,105,inner_race,0.007,0,13312,14336,train
27,105.mat.txt,105,inner_race,0.007,0,13824,14848,train
28,105.mat.txt,105,inner_race,0.007,0,14336,15360,train
29,105.mat.txt,105,inner_race,0.007,0,14848,15872,train
30,105.mat.txt,105,inner_race,0.007,0,15360,16384,train
31,105.mat.txt,105,inner_race,0.007,0,15872,16896,train
32,105.mat.txt,105,inner_race,0.007,0,16384,17408,train
33,105.mat.txt,105,inner_race,0.007,0,16896,17920,train
34,105.mat.txt,105,inner_race,0.007,0,17408,18432,train
35,105.mat.txt,105,inner_race,0.007,0,17920,18944,train
36,105.mat.txt,105,inner_race,0.007,0,18432,19456,train
37,105.mat.txt,105,inner_race,0.007,0,18944,19968,train
38,105.mat.txt,105,inner_race,0.007,0,19456,20480,train
39,105.mat.txt,105,inner_race,0.007,0,19968,20992,train
40,105.mat.txt,105,inner_race,0.007,0,20480,21504,train
41,105.mat.txt,105,inner_race,0.007,0,20992,22016,train
42,105.mat.txt,105,inner_race,0.007,0,21504,22528,train
43,105.mat.txt,105,inner_race,0.007,0,22016,23040,train
44,105.mat.txt,105,inner_race,0.007,0,22528,23552,train
45,105.mat.txt,105,inner_race,0.007,0,23040,24064,train
46,105.mat.txt,105,inner_race,0.007,0,23552,24576,train
47,105.mat.txt,105,inner_race,0.007,0,24064,25088,train
48,105.mat.txt,105,inner_race,0.007,0,24576,25600,train
49,105.mat.txt,105,inner_race,0.007,0,25088,26112,train
50,105.mat.txt,105,inner_race,0.007,0,25600,26624,train
51,105.mat.txt,105,inner_race,0.007,0,26112,27136,train
52,105.mat.txt,105,inner_race,0.007,0,26624,27648,train
53,105.mat.txt,105,inner_race,0.007,0,27136,28160,train
54,105.mat.txt,105,inner_race,0.007,0,27648,28672,train
55,105.mat.txt,105,inner_race,0.007,0,28160,29184,train
56,105.mat.txt,105,inner_race,0.007,0,28672,29696,train
57,105.mat.txt,105,inner_race,0.007,0,29184,30208,train
58,105.mat.txt,105,inner_race,0.007,0,29696,30720,train
59,105.mat.txt,105,inner_race,0.007,0,30208,31232,train
60,105.mat.txt,105,inner_race,0.007,0,30720,31744,train
61,105.mat.txt,105,inner_race,0.007,0,31232,32256,train
62,105.mat.txt,105,inner_race,0.007,0,31744,32768,train
63,105.mat.txt,105,inner_race,0.007,0,32256,33280,train
64,105.mat.txt,105,inner_race,0.007,0,32768,33792,train
65,105.mat.txt,105,inner_race,0.007,0,33280,34304,train
66,105.mat.txt,105,inner_race,0.007,0,33792,34816,train
67,105.mat.txt,105,inner_race,0.007,0,34304,35328,train
68,105.mat.txt,105,inner_race,0.007,0,34816,35840,train
69,105.mat.txt,105,inner_race,0.007,0,35328,36352,train
70,105.mat.txt,105,inner_race,0.007,0,35840,36864,train
71,105.mat.txt,105,inner_race,0.007,0,36352,37376,train
72,105.mat.txt,105,inner_race,0.007,0,36864,37888,train
73,105.mat.txt,105,inner_race,0.007,0,37376,38400,train
74,105.mat.txt,105,inner_race,0.007,0,37888,38912,train
75,105.mat.txt,105,inner_race,0.007,0,38400,39424,train
76,105.mat.txt,105,inner_race,0.007,0,38912,39936,train
77,105.mat.txt,105,inner_race,0.007,0,39424,40448,train
78,105.mat.txt,105,inner_race,0.007,0,39936,40960,train
79,105.mat.txt,105,inner_race,0.007,0,40448,41472,train
80,105.mat.txt,105,inner_race,0.007,0,40960,41984,train
81,105.mat.txt,105,inner_race,0.007,0,41472,42496,train
82,105.mat.txt,105,inner_race,0.007,0,41984,43008,train
83,105.mat.txt,105,inner_race,0.007,0,42496,43520,train
84,105.mat.txt,105,inner_race,0.007,0,43008,44032,train
85,105.mat.txt,105,inner_race,0.007,0,43520,44544,train
86,105.mat.txt,105,inner_race,0.007,0,44032,45056,train
87,105.mat.txt,105,inner_race,0.007,0,44544,45568,train
88,105.mat.txt,105,inner_race,0.007,0,45056,46080,train
89,105.mat.txt,105,inner_race,0.007,0,45568,46592,train
90,105.mat.txt,105,inner_race,0.007,0,46080,47104,train
91,105.mat.txt,105,inner_race,0.007,0,46592,47616,train
92,105.mat.txt,105,inner_race,0.007,0,47104,48128,train
93,105.mat.txt,105,inner_race,0.007,0,47616,48640,train
94,105.mat.txt,105,inner_race,0.007,0,48128,49152,train
95,105.mat.txt,105,inner_race,0.007,0,48640,49664,train
96,105.mat.txt,105,inner_race,0.007,0,49152,50176,train
97,105.mat.txt,105,inner_race,0.007,0,49664,50688,train
98,105.mat.txt,105,inner_race,0.007,0,50176,51200,train
99,105.mat.txt,105,inner_race,0.007,0,50688,51712,train
100,105.mat.txt,105,inner_race,0.007,0,51200,52224,train
101,105.mat.txt,105,inner_race,0.007,0,51712,52736,train
102,105.mat.txt,105,inner_race,0.007,0,52224,53248,train
103,105.mat.txt,105,inner_race,0.007,0,52736,53760,train
104,105.mat.txt,105,inner_race,0.007,0,53248,54272,train
105,105.mat.txt,105,inner_race,0.007,0,53760,54784,train
106,105.mat.txt,105,inner_race,0.007,0,54272,55296,train
107,105.mat.txt,105,inner_race,0.007,0,54784,55808,train
108,105.mat.txt,105,inner_race,0.007,0,55296,56320,train
109,105.mat.txt,105,inner_race,0.007,0,55808,56832,train
110,105.mat.txt,105,inner_race,0.007,0,56320,57344,train
111,105.mat.txt,105,inner_race,0.007,0,56832,57856,train
112,105.mat.txt,105,inner_race,0.007,0,57344,58368,train
113,105.mat.txt,105,inner_race,0.007,0,57856,58880,train
114,105.mat.txt,105,inner_race,0.007,0,58368,59392,train
115,105.mat.txt,105,inner_race,0.007,0,58880,59904,train
116,105.mat.txt,105,inner_race,0.007,0,59392,60416,train
117,105.mat.txt,105,inner_race,0.007,0,59904,60928,train
118,105.mat.txt,105,inner_race,0.007,0,60416,61440,train
119,105.mat.txt,105,inner_race,0.007,0,60928,61952,train
120,105.mat.txt,105,inner_race,0.007,0,61440,62464,train
121,105.mat.txt,105,inner_race,0.007,0,61952,62976,train
122,105.mat.txt,105,inner_race,0.007,0,62464,63488,train
123,105.mat.txt,105,inner_race,0.007,0,62976,64000,train
124,105.mat.txt,105,inner_race,0.007,0,63488,64512,train
125,105.mat.txt,105,inner_race,0.007,0,64000,65024,train
126,105.mat.txt,105,inner_race,0.007,0,64512,65536,train
127,105.mat.txt,105,inner_race,0.007,0,65024,66048,train
128,105.mat.txt,105,inner_race,0.007,0,65536,66560,train
129,105.mat.txt,105,inner_race,0.007,0,66048,67072,train
130,105.mat.txt,105,inner_race,0.007,0,66560,67584,train
131,105.mat.txt,105,inner_race,0.007,0,67072,68096,train
132,105.mat.txt,105,inner_race,0.007,0,67584,68608,train
133,105.mat.txt,105,inner_race,0.007,0,68096,69120,train
134,105.mat.txt,105,inner_race,0.007,0,68608,69632,train
135,105.mat.txt,105,inner_race,0.007,0,69120,70144,train
136,105.mat.txt,105,inner_race,0.007,0,69632,70656,train
137,105.mat.txt,105,inner_race,0.007,0,70144,71168,train
138,105.mat.txt,105,inner_race,0.007,0,70656,71680,train
139,105.mat.txt,105,inner_race,0.007,0,71168,72192,train
140,105.mat.txt,105,inner_race,0.007,0,71680,72704,train
141,105.mat.txt,105,inner_race,0.007,0,72192,73216,train
142,105.mat.txt,105,inner_race,0.007,0,72704,73728,train
143,105.mat.txt,105,inner_race,0.007,0,73216,74240,train
144,105.mat.txt,105,inner_race,0.007,0,73728,74752,train
145,105.mat.txt,105,inner_race,0.007,0,74240,75264,train
146,105.mat.txt,105,inner_race,0.007,0,74752,75776,train
147,105.mat.txt,105,inner_race,0.007,0,75264,76288,train
148,105.mat.txt,105,inner_race,0.007,0,75776,76800,train
149,105.mat.txt,105,inner_race,0.007,0,76288,77312,train
150,105.mat.txt,105,inner_race,0.007,0,76800,77824,train
151,105.mat.txt,105,inner_race,0.007,0,77312,78336,train
152,105.mat.txt,105,inner_race,0.007,0,77824,78848,train
153,105.mat.txt,105,inner_race,0.007,0,78336,79360,train
154,105.mat.txt,105,inner_race,0.007,0,78848,79872,train
155,105.mat.txt,105,inner_race,0.007,0,79360,80384,train
156,105.mat.txt,105,inner_race,0.007,0,79872,80896,train
157,105.mat.txt,105,inner_race,0.007,0,80384,81408,train
158,105.mat.txt,105,inner_race,0.007,0,80896,81920,train
159,105.mat.txt,105,inner_race,0.007,0,81408,82432,train
160,105.mat.txt,105,inner_race,0.007,0,81920,82944,train
161,105.mat.txt,105,inner_race,0.007,0,82432,83456,train
162,105.mat.txt,105,inner_race,0.007,0,82944,83968,train
163,105.mat.txt,105,inner_race,0.007,0,83456,84480,train
164,105.mat.txt,105,inner_race,0.007,0,83968,84992,train
165,105.mat.txt,105,inner_race,0.007,0,84480,85504,train
166,105.mat.txt,105,inner_race,0.007,0,84992,86016,train
167,105.mat.txt,105,inner_race,0.007,0,85504,86528,train
168,105.mat.txt,105,inner_race,0.007,0,86016,87040,train
169,105.mat.txt,105,inner_race,0.007,0,86528,87552,train
170,105.mat.txt,105,inner_race,0.007,0,87040,88064,train
171,105.mat.txt,105,inner_race,0.007,0,87552,88576,train
172,105.mat.txt,105,inner_race,0.007,0,88064,89088,train
173,105.mat.txt,105,inner_race,0.007,0,88576,89600,train
174,105.mat.txt,105,inner_race,0.007,0,89088,90112,train
175,105.mat.txt,105,inner_race,0.007,0,89600,90624,train
176,105.mat.txt,105,inner_race,0.007,0,90112,91136,train
177,105.mat.txt,105,inner_race,0.007,0,90624,91648,train
178,105.mat.txt,105,inner_race,0.007,0,91136,92160,train
179,105.mat.txt,105,inner_race,0.007,0,91648,92672,train
180,105.mat.txt,105,inner_race,0.007,0,92160,93184,train
181,105.mat.txt,105,inner_race,0.007,0,92672,93696,train
182,105.mat.txt,105,inner_race,0.007,0,93184,94208,train
183,105.mat.txt,105,inner_race,0.007,0,93696,94720,train
184,105.mat.txt,105,inner_race,0.007,0,94208,95232,train
185,105.mat.txt,105,inner_race,0.007,0,94720,95744,train
186,105.mat.txt,105,inner_race,0.007,0,95232,96256,train
187,105.mat.txt,105,inner_race,0.007,0,95744,96768,train
188,105.mat.txt,105,inner_race,0.007,0,96256,97280,train
189,105.mat.txt,105,inner_race,0.007,0,96768,97792,train
190,105.mat.txt,105,inner_race,0.007,0,97280,98304,train
191,105.mat.txt,105,inner_race,0.007,0,97792,98816,train
192,105.mat.txt,105,inner_race,0.007,0,98304,99328,train
193,105.mat.txt,105,inner_race,0.007,0,98816,99840,train
194,105.mat.txt,105,inner_race,0.007,0,99328,100352,train
195,105.mat.txt,105,inner_race,0.007,0,99840,100864,train
196,105.mat.txt,105,inner_race,0.007,0,100352,101376,train
197,105.mat.txt,105,inner_race,0.007,0,100864,101888,train
198,105.mat.txt,105,inner_race,0.007,0,101376,102400,train
199,105.mat.txt,105,inner_race,0.007,0,101888,102912,train
200,105.mat.txt,105,inner_race,0.007,0,102400,103424,train
201,105.mat.txt,105,inner_race,0.007,0,102912,103936,train
202,105.mat.txt,105,inner_race,0.007,0,103424,104448,train
203,105.mat.txt,105,inner_race,0.007,0,103936,104960,train
204,105.mat.txt,105,inner_race,0.007,0,104448,105472,train
205,105.mat.txt,105,inner_race,0.007,0,104960,105984,train
206,105.mat.txt,105,inner_race,0.007,0,105472,106496,train
207,105.mat.txt,105,inner_race,0.007,0,105984,107008,train
